record,item,description,shortMnemonic,longMnemonic,declaredType,valueKind,declaredLength
1,1,Well Identifier,WID,WELLID,A,text,16
1,2,Sidetrack/Hole Sect No.,SKNO,STKNUM,S,integer,2
1,3,Record Identifier,RID,RECID,S,integer,2
1,4,Sequence Identifier,SQID,SEQID,L,integer,4
1,5,Date,DATE,DATE,D,date,4
1,6,Time,TIME,TIME,T,time,4
1,7,Activity Code,ACTC,ACTCOD,S,integer,2
1,8,Depth Bit (meas),DBTM,DEPTBITM,F,float,4
1,9,Depth Bit (vert),DBTV,DEPTBITV,F,float,4
1,10,Depth Hole (meas),DMEA,DEPTMEAS,F,float,4
1,11,Depth Hole (vert),DVER,DEPTVERT,F,float,4
1,12,Block Position,BPOS,BLKPOS,F,float,4
1,13,Rate of Penetration (avg),ROPA,ROPA,F,float,4
1,14,Hookload (avg),HKLA,HKLA,F,float,4
1,15,Hookload (max),HKLX,HKLX,F,float,4
1,16,"Weight-on-Bit (surf,avg)",WOBA,WOBA,F,float,4
1,17,"Weight-on-Bit (surf,max)",WOBX,WOBX,F,float,4
1,18,"Rotary Torque (surf,avg)",TQA,TORQA,F,float,4
1,19,"Rotary Torque (surf,max)",TQX,TORQX,F,float,4
1,20,"Rotary Speed (surf,avg)",RPMA,RPMA,S,integer,2
1,21,Standpipe Pressure (avg),SPPA,SPPA,F,float,4
1,22,Casing (Choke) Pressure,CHKP,CHKP,F,float,4
1,23,Pump Stroke Rate #1,SPM1,SPM1,S,integer,2
1,24,Pump Stroke Rate #2,SPM2,SPM2,S,integer,2
1,25,Pump Stroke Rate #3,SPM3,SPM3,S,integer,2
1,26,Tank Volume (active),TVA,TVOLACT,F,float,4
1,27,Tank Volume Change (act),TVCA,TVOLCACT,F,float,4
1,28,Mud Flow Out %,MFOP,MFOP,S,integer,2
1,29,Mud Flow Out (avg),MFOA,MFOA,F,float,4
1,30,Mud Flow In (avg),MFIA,MFIA,F,float,4
1,31,Mud Density Out (avg),MDOA,MDOA,F,float,4
1,32,Mud Density In (avg),MDIA,MDIA,F,float,4
1,33,Mud Temperature Out (avg),MTOA,MTOA,F,float,4
1,34,Mud Temperature In (avg),MTIA,MTIA,F,float,4
1,35,Mud Conductivity Out (avg),MCOA,MCOA,F,float,4
1,36,Mud Conductivity In (avg),MCIA,MCIA,F,float,4
1,37,Pump Stroke Count (cum),STKC,STKC,L,integer,4
1,38,Lag Strokes,LSTK,LAGSTKS,S,integer,2
1,39,Depth Returns (meas),DRTM,DEPTRETM,F,float,4
1,40,Gas (avg),GASA,GASA,F,float,4
1,41,SPARE 1,SPR1,SPARE1,F,float,4
1,42,SPARE 2,SPR2,SPARE2,F,float,4
1,43,SPARE 3,SPR3,SPARE3,F,float,4
1,44,SPARE 4,SPR4,SPARE4,F,float,4
1,45,SPARE 5,SPR5,SPARE5,F,float,4
2,1,Well Identifier,WID,WELLID,A,text,16
2,2,Sidetrack/Hole Sect No.,SKNO,STKNUM,S,integer,2
2,3,Record Identifier,RID,RECID,S,integer,2
2,4,Sequence Identifier,SQID,SEQID,L,integer,4
2,5,Date,DATE,DATE,D,date,4
2,6,Time,TIME,TIME,T,time,4
2,7,Activity Code,ACTC,ACTCOD,S,integer,2
2,8,Depth Hole (meas),DMEA,DEPTMEAS,F,float,4
2,9,Depth Hole (vert),DVER,DEPTVERT,F,float,4
2,10,Rate of Penetration (avg),ROPA,ROPA,F,float,4
2,11,"Weight-on-Bit (surf,avg)",WOBA,WOBA,F,float,4
2,12,Hookload (avg),HKLA,HKLA,F,float,4
2,13,Standpipe Pressure (avg),SPPA,SPPA,F,float,4
2,14,"Rotary Torque (surf,avg)",TQA,TORQA,F,float,4
2,15,"Rotary Speed (surf,avg)",RPMA,RPMA,S,integer,2
2,16,Bit Revolutions (cum),BRVC,BTREVC,L,integer,4
2,17,Mud Density In (avg),MDIA,MDIA,F,float,4
2,18,ECD at Total Depth,ECDT,ECDTD,F,float,4
2,19,Mud Flow In (avg),MFIA,MFIA,F,float,4
2,20,Mud Flow Out (avg),MFOA,MFOA,F,float,4
2,21,Mud Flow Out %,MFOP,MFOP,S,integer,2
2,22,Tank Volume (active),TVA,TVOLACT,F,float,4
2,23,Cost/Distance (inst),CPDI,CPDI,F,float,0
2,24,Cost/Distance (cum),CPDC,CPDC,F,float,4
2,25,Bit Drilled Time,BDTI,BTDTIME,F,float,4
2,26,Bit Drilled Distance,BDDI,BTDDIST,F,float,4
2,27,Corr. Drilling Exponent,DXC,DXC,F,float,4
2,28,SPARE 1,SPR1,SPARE1,F,float,4
2,29,SPARE 2,SPR2,SPARE2,F,float,4
2,30,SPARE 3,SPR3,SPARE3,F,float,4
2,31,SPARE 4,SPR4,SPARE4,F,float,4
2,32,SPARE 5,SPR5,SPARE5,F,float,4
2,33,SPARE 6,SPR6,SPARE6,F,float,4
2,34,SPARE 7,SPR7,SPARE7,F,float,4
2,35,SPARE 8,SPR8,SPARE8,F,float,4
2,36,SPARE 9,SPR9,SPARE9,F,float,4
3,1,Well Identifier,WID,WELLID,A,text,16
3,2,Sidetrack/Hole Sect No.,SKNO,STKNUM,S,integer,2
3,3,Record Identifier,RID,RECID,S,integer,2
3,4,Sequence Identifier,SQID,SEQID,L,integer,4
3,5,Date,DATE,DATE,D,date,4
3,6,Time,TIME,TIME,T,time,4
3,7,Activity Code,ACTC,ACTCOD,S,integer,2
3,8,Depth Connection (meas),DCNM,DEPTCONM,F,float,4
